Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.80597015,0.71739130,0.14663383,-0.63548545,-0.55664488,-0.47167670,-0.06162876,0.74626866,0.14434007
0.70386253,0.54876210,0.22976942,-0.47352047,-0.58605664,-0.48978395,-0.06435538,0.73955224,0.13479674
0.83208955,0.75138122,0.14300203,-0.61995598,-0.53431373,-0.40962154,-0.03631695,0.75746269,0.13050370
0.66044776,0.54726368,0.58260086,-0.22646124,-0.03267974,-0.09182391,-0.11604304,0.95149254,0.21318385
0.82089552,0.74193548,0.08206024,-0.77146001,-0.75599129,-0.64264766,-0.03546099,0.71716418,0.13056241
0.64552239,0.02061856,0.54022989,-0.00489117,-0.01470588,-0.00395158,-0.55184642,0.99253731,0.43412269
0.80223881,0.74396135,0.10344828,-0.89655172,-0.66666667,-0.80272109,-0.12142333,0.66044776,0.10874448
0.61567164,0.56170213,0.91423519,-0.04744436,-0.03921569,0.14156432,0.19870384,0.70149254,0.17253389
