Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.72666667,0.80751174,0.86549708,-0.10360360,-0.06618067,-0.05293161,0.08108108,0.69400000,0.15640214
0.72480217,0.80578349,0.88633897,-0.08693278,-0.06618067,-0.05293161,0.06307223,0.69400000,0.15640214
0.72000000,0.80094787,0.90871177,-0.06826057,-0.04731275,-0.01291875,0.08939709,0.69266667,0.16739063
0.67666667,0.80715706,1.00000000,0.00000000,0.00000000,0.00000000,0.15211365,1.00000000,0.05856295
0.59000000,0.81192661,0.79754861,-0.16597367,-0.09762722,-0.13097981,0.19092169,0.75133333,0.13993977
0.33000000,0.01951220,2.84615385,0.00831601,0.01643796,0.00821898,-0.16042966,0.98933333,1.10866262
0.28666667,0.17692308,1.20961538,0.03776854,0.05846198,-0.01418638,-0.14968815,0.75600000,0.97289486
0.67666667,0.80715706,1.00000000,0.00000000,0.00000000,0.00000000,0.15211365,1.00000000,0.05856295
