Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.90936919,0.61885057,1.74513700,0.08068896,-0.05343061,0.00053264,0.08900613,0.96348530,0.06896606
0.90922085,0.61957077,1.31672536,0.03485591,-0.05343061,0.00053264,0.04926743,0.96348530,0.06896606
0.89264240,0.48424370,1.53084082,0.04232162,-0.09126978,-0.02748111,0.10014778,0.99046682,0.09180255
0.89045589,0.33021390,1.88952631,0.03150802,-0.03188786,-0.00336627,0.09789882,0.99921286,0.10953622
0.89865530,0.50612680,2.30272001,0.09800064,-0.02755964,0.03019875,0.12657970,0.98602821,0.08850417
0.87296381,0.00343053,35.01181102,0.00382456,0.01728010,0.00864005,0.08800605,0.99960643,0.13586118
0.88673882,0.40391254,1.99883267,0.06098798,0.00791868,0.02571025,0.09407558,0.97249371,0.10280387
0.81349076,0.53464266,1.05222816,0.01426540,-0.17758833,-0.09379411,0.02683434,0.98183011,0.06471444
