Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.87049458,0.71304916,0.58965928,-0.08832651,-0.01440748,-0.02062536,-0.05171185,0.93790816,0.10750613
0.87010880,0.71189507,0.86535297,-0.02784137,-0.01440748,-0.02062536,-0.01883535,0.93790816,0.10750613
0.85663743,0.68924748,0.53905722,-0.10489959,-0.05081175,-0.04674714,-0.05793576,0.92972654,0.11358470
0.79759711,0.43729508,0.86570402,-0.01524105,0.09795089,0.04777384,-0.08702516,0.98968084,0.19985025
0.83467237,0.62685077,0.54411828,-0.09477377,-0.08915439,-0.06140979,-0.05260799,0.92919584,0.13691395
0.75167686,0.00059330,6.20499203,0.00044548,0.00341297,0.00164840,-0.10827990,0.99974939,0.28538856
0.85044593,0.66644748,0.57726668,-0.08983626,-0.00854907,-0.02294387,-0.06512508,0.91642957,0.12324288
0.80224073,0.68549994,0.89861606,-0.03912532,0.09981160,0.05849938,0.00716509,0.90572713,0.07786107
