Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.89679676,0.43675418,2.40319476,0.07497385,0.09839373,0.06337768,0.06996888,0.97909697,0.09808512
0.89636902,0.43412366,1.67073293,0.03644292,0.09839373,0.06337768,0.01083494,0.97909697,0.09808512
0.88936263,0.44940152,2.07986504,0.07676881,0.05601320,0.04774518,0.08233752,0.97616705,0.09717518
0.89100251,0.36698413,1.50783199,0.02227834,0.00716786,0.00118038,0.07201420,0.99687329,0.10636895
0.89821799,0.51025776,2.15569842,0.08969988,0.02679158,0.04148123,0.09545242,0.98843337,0.08818750
0.87252651,0.00341880,34.59143969,0.00377856,0.01604744,0.00802372,0.10104651,0.99967202,0.13636224
0.88925331,0.44855743,2.02513175,0.07287776,0.03906405,0.03927060,0.08622857,0.97603586,0.09729557
0.77708538,0.50304655,1.14452493,0.04618620,-0.10942825,-0.05270262,0.01485690,0.93855909,0.06509831
