Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.80970149,0.76056338,0.18846270,-0.65092054,-0.51238390,-0.43409050,0.02059109,0.74402985,0.14331897
0.71114864,0.62513757,0.30238457,-0.46737731,-0.53869969,-0.45087158,0.01795842,0.74477612,0.13375767
0.80223881,0.73631841,0.17795753,-0.59084302,-0.50541796,-0.36285391,-0.00024225,0.77388060,0.16818069
0.68283582,0.43708609,0.35720930,-0.16739341,-0.09365325,-0.01784112,-0.33357558,0.97238806,0.35341258
0.81716418,0.75621891,0.11906977,-0.68822674,-0.65944272,-0.47573585,0.04142442,0.80820896,0.15704579
0.58955224,0.01785714,0.55813953,-0.00460271,-0.01315789,-0.00295576,-0.57776163,0.98805970,0.52447751
0.79850746,0.73267327,0.18604651,-0.58502907,-0.50541796,-0.35923072,0.00557171,0.78059701,0.16933926
0.61194030,0.61764706,0.94883721,-0.03197674,0.08668731,0.21145960,0.21511628,0.77910448,0.16057524
