Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.92048041,0.03828002,3.22505751,0.00347294,0.01621687,0.00891595,0.03114706,0.99553840,0.08208504
0.92036028,0.03559905,2.65806591,0.00279946,0.01621687,0.00891595,0.00095912,0.99553840,0.08208504
0.92009019,0.00860678,2.61034962,0.00068790,0.00291001,0.00162376,0.03166624,0.99890736,0.08307382
0.92004683,nan,0.00000000,-0.00001643,0.00000000,-0.00000883,0.03174539,0.99998699,0.08332348
0.92004683,nan,inf,0.00003186,0.00000000,0.00001772,0.03179368,0.99999133,0.08332348
0.91998179,0.00485306,1.26788410,0.00011443,-0.00151057,-0.00065740,0.03198483,0.99920220,0.08322056
0.92005767,0.00539447,1.04413985,0.00001886,-0.00087906,-0.00043023,0.03176182,0.99925206,0.08317428
0.89576604,0.21115669,2.37550776,0.04890493,0.08706716,0.06391753,0.05438653,0.92374748,0.08266990
