Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.86774557,0.29979914,2.00327727,0.08131151,0.13677107,0.10186431,0.06675464,0.86280920,0.08009840
0.86674081,0.29075795,1.86884111,0.07230599,0.13417286,0.10042494,0.05105589,0.86341839,0.08003091
0.86572940,0.26569447,2.11420946,0.08295898,0.12965880,0.10039542,0.07284082,0.86466928,0.08389506
0.08219698,0.14820478,0.99858641,-0.00141070,-0.00060441,-0.00105542,-0.03298423,0.99898107,0.01243415
0.91998179,nan,nan,0.00000000,0.00000000,0.00000000,0.03181688,1.00000000,0.08340140
0.85874867,0.16793308,1.60012632,0.04468268,-0.16098778,-0.04989720,0.09324640,0.87220283,0.09396364
0.87882368,0.23205331,1.13030200,0.00970170,-0.04359920,-0.01724789,0.03456452,0.89261387,0.08486945
0.86572940,0.26569447,2.11420946,0.08295898,0.12965880,0.10039542,0.07284082,0.86466928,0.08389506
