Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.89209577,0.34156104,2.26547013,0.04838186,0.04999160,0.03624652,0.07933826,0.98858642,0.10608537
0.89170299,0.34006717,1.61081263,0.02375489,0.04999160,0.03624652,0.00711035,0.98858642,0.10608537
0.88979993,0.28510638,3.06876431,0.05838973,0.11992942,0.07081528,0.06887794,0.99077293,0.11127110
0.88006997,0.10008203,4.86275153,0.03127382,0.05825912,0.03809160,0.09126571,0.99709194,0.12614769
0.88914398,0.36065574,3.05187699,0.09529126,0.15600739,0.10364174,0.07630216,0.99059801,0.10490808
0.87569695,0.00175593,35.01181102,0.00382456,0.01818182,0.00902690,0.09081725,0.99973762,0.13265857
0.88925331,0.27279253,0.69744643,-0.00853941,-0.08007058,-0.04426010,0.08856298,0.99007325,0.11234413
0.88750410,0.23946785,3.18289191,0.04860144,0.09865569,0.05875406,0.07461544,0.99313436,0.11522649
