Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.82089552,0.74736842,0.08547625,-0.68824983,-0.69087838,-0.50136662,0.00602882,0.73731343,0.15891490
0.69864256,0.53574733,0.16302586,-0.47636055,-0.69087838,-0.50136662,0.07365863,0.73731343,0.15891490
0.81343284,0.73684211,0.10386294,-0.65593537,-0.63260135,-0.46863099,-0.01458974,0.75447761,0.16455025
0.68656716,0.57142857,0.51897474,-0.23307409,-0.04054054,-0.07532188,-0.17121842,0.90970149,0.24859761
0.81343284,0.73684211,0.12331554,-0.62362091,-0.54307432,-0.42386747,-0.04690420,0.76791045,0.16455025
0.60447761,0.01851852,0.56725146,-0.00446133,-0.01351351,-0.00315963,-0.55959486,0.98805970,0.49957357
0.81343284,0.73684211,0.10386294,-0.65593537,-0.63260135,-0.46863099,-0.01458974,0.75447761,0.16455025
0.63805970,0.62835249,0.92298543,-0.04684391,-0.03378378,0.22036178,0.29257853,0.71268657,0.15132649
