Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.85074627,0.77777778,0.09812976,-0.75332690,-0.63304348,-0.54120528,-0.02262938,0.70970149,0.11561577
0.74651866,0.61270450,0.16560776,-0.60006123,-0.63304348,-0.53804073,-0.03916184,0.70820896,0.11676161
0.84328358,0.76666667,0.10616706,-0.73609772,-0.61855072,-0.53079435,-0.02892960,0.70522388,0.12094767
0.67164179,0.44303797,0.46448087,-0.20160720,-0.18028986,-0.10161645,-0.25998071,0.91940299,0.28763453
0.83582090,0.73493976,0.03466275,-0.76091289,-0.82956522,-0.62087438,-0.03522983,0.72388060,0.14764422
0.65671642,0.04166667,0.46448087,-0.00630023,0.02550725,0.01275362,-0.66885246,0.98880597,0.42050299
0.84328358,0.76666667,0.10616706,-0.73609772,-0.61855072,-0.53079435,-0.02892960,0.70522388,0.12094767
0.64925373,0.48351648,0.89799636,-0.03600129,0.12521739,0.20184920,-0.15827708,0.78731343,0.25545527
