Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.74666667,0.83035714,0.94164456,-0.04630079,0.03486423,-0.05280598,-0.03302574,0.73666667,0.14340563
0.74453145,0.82898065,0.97420028,-0.02032856,0.03486423,-0.05280598,-0.06046308,0.73666667,0.14340563
0.73333333,0.81900452,0.91441629,-0.06669904,-0.02894178,-0.05018518,0.02914036,0.73066667,0.16189215
0.71333333,0.83268482,1.00000000,0.00000000,0.00000000,0.00000000,0.08191679,1.00000000,0.05680862
0.59333333,0.82027650,0.68323978,-0.25578760,-0.17722651,-0.25885135,0.18811721,0.70200000,0.17047307
0.28666667,0.00925926,2.44827586,0.00679942,-0.00636943,0.01348195,-0.06572770,0.99266667,1.24219901
0.26666667,0.23076923,1.30227439,0.06669904,0.02894178,0.05018518,-0.02914036,0.73066667,0.98337402
0.29000000,0.00930233,inf,0.01149425,0.01754386,0.00877193,-0.09341104,0.99600000,1.23787436
