Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.84641564,0.65662943,0.52935618,-0.10080989,-0.08042710,-0.06109863,-0.05454710,0.95706010,0.12554369
0.79429246,0.40458398,0.98889395,-0.00110306,0.02841565,0.00835325,-0.01406878,0.95268646,0.20772147
0.71390297,0.59827148,0.70351117,-0.14379895,-0.02543359,-0.06506628,-0.06212017,0.97943519,0.08957915
0.69674149,0.60159817,0.67584196,-0.17448171,-0.03145261,-0.08481153,-0.07776525,0.97600290,0.07522714
0.73026792,0.34198905,5.21033312,0.43394194,0.04120845,0.28938033,0.37641808,0.91393193,0.22831835
0.75314989,0.00117199,6.24934383,0.00044094,0.00295673,0.00147837,-0.10123473,0.99981173,0.28349101
0.71390297,0.59737083,0.67970002,-0.15534751,-0.06149916,-0.08653657,-0.06212017,0.97756698,0.09035583
0.70000000,0.59097640,0.91500632,-0.04183645,0.03736079,0.02121691,0.02161711,0.96740043,0.08700610
