Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.76666667,0.85106383,0.88764045,-0.10000000,-0.02443372,-0.09718418,0.02500000,0.84466667,0.09284657
0.76592603,0.85115892,0.90971686,-0.08000638,-0.02443372,-0.09718418,-0.00771517,0.84466667,0.09284657
0.75333333,0.84120172,0.95906433,-0.03500000,0.00241191,-0.01268293,0.05000000,0.83533333,0.10724503
0.78333333,0.85260771,1.08108108,0.06000000,0.10077601,0.10839454,0.00500000,0.81600000,0.12724722
0.60666667,0.82727273,0.92903226,-0.05500000,-0.03764681,-0.00983648,0.11500000,0.79000000,0.15306225
0.29000000,0.00930233,2.00000000,0.00500000,0.01562500,-0.00199142,-0.12000000,0.98733333,1.23072245
0.24666667,0.13076923,1.24137931,0.03500000,-0.00241191,0.01268293,-0.05000000,0.83533333,1.11630708
0.29000000,nan,nan,0.00000000,0.00000000,0.00000000,-0.10500000,1.00000000,1.23787436
