Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.82462687,0.77073171,0.07379679,-0.85573123,-0.72416534,-0.73688705,-0.01432806,0.67686567,0.13900544
0.65723840,0.54874099,0.12437006,-0.75977976,-0.72416534,-0.73688705,-0.10116007,0.67686567,0.13900544
0.82089552,0.77570093,0.11415883,-0.83769763,-0.60651828,-0.72305570,-0.04174901,0.67835821,0.12735823
0.70149254,0.60396040,0.56919192,-0.21072134,0.03418124,0.00809218,-0.15785573,0.87238806,0.23376182
0.83582090,0.77319588,0.08476658,-0.73616601,-0.67011129,-0.51541558,0.01828063,0.71417910,0.14764422
0.59701493,0.01818182,0.52272727,-0.00518775,-0.01351351,-0.00323563,-0.59461462,0.98880597,0.51194802
0.82089552,0.77570093,0.11415883,-0.83769763,-0.60651828,-0.72305570,-0.04174901,0.67835821,0.12735823
0.64552239,0.61224490,0.93877551,-0.03260870,0.23131955,0.24007292,0.02667984,0.65373134,0.18664962
