Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.86941488,0.30198737,2.10497079,0.08627171,0.15600832,0.11371970,0.06760439,0.86484488,0.07944503
0.87336137,0.28303959,1.94628350,0.06915706,0.14737895,0.10531607,0.04468178,0.87611811,0.07971374
0.92029614,nan,nan,0.00000000,0.00000000,0.00000000,0.02867419,1.00000000,0.08305977
0.91779218,0.01404056,1.59903944,0.00182913,0.00072553,0.00126955,0.02995652,0.99570534,0.08370991
0.92028530,nan,inf,0.00003191,0.00000000,0.00001770,0.02870611,0.99998699,0.08306432
0.92029614,nan,nan,0.00000000,0.00000000,0.00000000,0.02867419,1.00000000,0.08305977
0.92029614,nan,nan,0.00000000,0.00000000,0.00000000,0.02867419,1.00000000,0.08305977
0.07970386,0.14764023,1.00000000,0.00000000,0.00000000,0.00000000,-0.02867419,1.00000000,0.01189798
