Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.82462687,0.73446328,0.08017268,-0.79335106,-0.72573260,-0.64446585,-0.01728723,0.71791045,0.14214306
0.64376729,0.50100388,0.17330608,-0.59119618,-0.72573260,-0.64446585,-0.05848455,0.71791045,0.14214306
0.81343284,0.71910112,0.09386733,-0.77021277,-0.66437729,-0.63126583,-0.05478723,0.72537313,0.14869857
0.65298507,0.51813472,0.67189250,-0.15585106,0.06410256,-0.04876527,-0.18244681,0.94776119,0.23441107
0.82089552,0.73033708,0.09386733,-0.77021277,-0.68223443,-0.61936106,-0.02978723,0.73731343,0.14328336
0.66417910,0.22413793,1.06382979,0.00478723,0.24633700,0.05325798,-0.55478723,0.91194030,0.38029560
0.79104478,0.70526316,0.07978723,-0.92021277,-0.71794872,-0.84555154,-0.12978723,0.69552239,0.14483672
0.69776119,0.56684492,0.92443140,-0.02739362,0.14102564,0.17719627,-0.08590426,0.74701493,0.21527783
