Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.88423266,0.24309001,1.82539410,0.04636129,0.08664096,0.06169051,0.04790512,0.90092354,0.08368374
0.88333284,0.23560930,1.70435579,0.04068355,0.08664096,0.06169051,0.02638513,0.90092354,0.08368374
0.64198842,0.22672785,1.64554736,0.20203261,0.17392812,0.18470844,0.16216059,0.66637978,0.08791190
0.08162248,0.14975012,1.00020740,0.00020722,0.00007751,0.00014652,-0.03085198,0.99953390,0.01223044
0.91907126,nan,nan,0.00000000,0.00000000,0.00000000,0.03108719,1.00000000,0.08439162
0.91907126,0.00026781,1.92473527,0.00001523,-0.00023430,-0.00009951,0.03113537,0.99996748,0.08438438
0.66020986,0.22344985,1.40819711,0.12775070,0.07011323,0.09732612,0.10892998,0.67119041,0.09092627
0.88440610,0.21240768,1.93235547,0.04654866,0.07769793,0.05833063,0.05197454,0.90518568,0.08593588
