Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.80970149,0.72727273,0.02519168,-0.87944664,-0.89200561,-0.80867147,-0.04125494,0.67686567,0.15301596
0.61542941,0.43432578,0.03877077,-0.79460076,-0.89200561,-0.80867147,-0.11352783,0.67686567,0.15301596
0.80970149,0.73846154,0.05470402,-0.88364625,-0.80972417,-0.80411246,-0.05780632,0.68059701,0.14006782
0.69029851,0.47798742,0.57873377,-0.12821146,0.01028518,0.02718157,-0.27322134,0.92164179,0.29428446
0.80970149,0.73298429,0.05038335,-0.85671937,-0.82748948,-0.76951685,-0.04125494,0.68582090,0.14656116
0.63432836,0.03921569,0.52272727,-0.00518775,0.01776531,0.00888266,-0.56867589,0.98805970,0.45518854
0.80223881,0.73631841,0.05113636,-0.94886364,-0.83870968,-0.90556174,-0.07954545,0.65597015,0.13542039
0.67537313,0.54450262,0.87633690,-0.04570158,0.13464236,0.17661653,-0.11808300,0.82537313,0.24290595
