Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.65395538,0.23399558,1.41587969,0.13513899,0.11389455,0.12007252,0.10459557,0.72428513,0.08687779
0.65230710,0.22996676,1.38452751,0.12613964,0.11389455,0.12007252,0.10673736,0.72428513,0.08687779
0.63794524,0.22991262,1.46106235,0.15515003,0.12597341,0.13661284,0.12148189,0.67641295,0.08613924
0.08123225,0.14921808,1.00042881,0.00042844,0.00142891,0.00088257,-0.03343226,0.99962061,0.01218498
0.91936393,nan,nan,0.00000000,0.00000000,0.00000000,0.03366313,1.00000000,0.08407323
0.91934225,nan,1.92702583,0.00001526,0.00000000,0.00000884,0.03367839,0.99996748,0.08408234
0.64483925,0.22816895,1.37413027,0.12589690,0.08183761,0.10077098,0.10130294,0.67721508,0.08752575
0.89921304,0.18595693,2.72469773,0.04685444,0.09539036,0.06684954,0.05409121,0.93784335,0.08378351
