Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.87799278,0.18061674,0.77247093,-0.00543445,-0.06730297,-0.03462357,0.12904861,0.97024161,0.12283234
0.87869316,0.18313229,0.61642840,-0.00926162,-0.06730297,-0.03462357,0.02829550,0.97024161,0.12283234
0.87733683,0.07881773,0.00000000,-0.00822443,-0.04456825,-0.02388689,0.13217533,0.98948289,0.12894502
0.88345906,0.30144168,2.90095941,0.07495897,0.11476596,0.07297390,0.09665477,0.99870996,0.11219094
0.88859735,0.36668738,3.95564825,0.13785921,0.21075700,0.14255991,0.09814725,0.99166940,0.10504130
0.87471302,nan,0.00000000,-0.00011266,0.00000000,-0.00006411,0.12947141,0.99978135,0.13378271
0.87755548,0.07590759,0.00000000,-0.00754845,-0.04271123,-0.02270194,0.13240065,0.99046682,0.12900430
0.88181918,0.25293711,1.95367385,0.03062157,0.01769621,0.01385475,0.11017562,0.98972341,0.11655484
