Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.84513894,0.65529122,0.62546316,-0.07910615,0.00034339,-0.01112605,-0.05828453,0.93170192,0.12764377
0.84493587,0.65481239,0.85967415,-0.02863962,0.00034339,-0.01112605,-0.02484357,0.93170192,0.12764377
0.84167465,0.66279435,0.60322975,-0.09261616,-0.00664596,-0.02082693,-0.06173323,0.91895039,0.12188562
0.82649075,0.61561071,0.90526619,-0.01939702,0.12625336,0.07234677,-0.04657298,0.95276775,0.14035048
0.83909486,0.63791674,0.61252998,-0.08000285,-0.03176347,-0.02620932,-0.05398040,0.93002138,0.13403508
0.75057124,0.00059067,5.94674859,0.00042593,-0.00032352,0.00013944,-0.11552057,0.99983784,0.28686044
0.84174836,0.66289841,0.60103619,-0.09312820,-0.00664596,-0.02112813,-0.06224527,0.91906833,0.12186328
0.77120955,0.65201794,0.92471879,-0.03105496,0.07552920,0.05381186,0.02821541,0.91004644,0.08453950
