Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.82835821,0.75789474,0.11784123,-0.63134893,-0.56761905,-0.42873706,-0.03945193,0.71492537,0.14407541
0.73153364,0.57753727,0.23888963,-0.40070227,-0.56761905,-0.42873706,0.00735659,0.71492537,0.14407541
0.82835821,0.76288660,0.13108434,-0.63890858,-0.54523810,-0.43244191,-0.03945193,0.70223881,0.13786815
0.62686567,0.38271605,0.72824632,-0.07193480,-0.02095238,0.00240626,-0.28395937,0.90970149,0.35262772
0.83955224,0.78606965,0.11989421,-0.70753603,-0.56285714,-0.50043018,-0.04169620,0.71492537,0.11898349
0.62313433,0.03809524,0.61445783,-0.00377983,0.02238095,0.01119048,-0.56283959,0.99029851,0.47299317
0.80223881,0.76018100,0.09638554,-0.90361446,-0.67857143,-0.81392340,-0.10807938,0.65000000,0.11209135
0.66044776,0.56038647,0.90705680,-0.03827073,0.20761905,0.18190936,-0.10075597,0.71641791,0.23333709
