Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.74000000,0.82352941,0.92990891,-0.05435636,-0.02617964,0.00635463,0.08771586,0.72533333,0.16072559
0.74139200,0.82581728,0.93219971,-0.05305203,-0.03280215,-0.00806774,0.07257507,0.73400000,0.15747720
0.74666667,0.82648402,0.97435897,-0.01923077,-0.01955712,0.06661033,0.11263736,0.71466667,0.16272283
0.28333333,nan,nan,0.00000000,0.00000000,0.00000000,-0.15502355,1.00000000,1.26113122
0.63666667,0.83771930,0.97194001,-0.02276295,0.02545530,0.02383876,0.12087912,0.74666667,0.12950693
0.68333333,0.77218225,0.70512821,-0.22115385,-0.33205712,-0.10213967,0.29532967,0.68333333,0.24234231
0.25333333,0.23287671,1.07692308,0.01923077,0.01955712,-0.06661033,-0.11263736,0.71466667,0.98415316
0.28333333,nan,nan,0.00000000,0.00000000,0.00000000,-0.15502355,1.00000000,1.26113122
