Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.90729201,0.60000000,2.41068662,0.14344890,0.14014424,0.11453766,0.07676399,0.95102219,0.07175085
0.90646504,0.59719821,1.83002969,0.08578229,0.14014424,0.11453766,0.05662621,0.95102219,0.07175085
0.81895704,0.51436950,0.99328200,-0.00165796,-0.07914603,-0.06242874,-0.01412464,0.90130097,0.07267505
0.88652017,0.32509753,1.99565998,0.04076718,0.06394702,0.03847305,0.06339874,0.99901607,0.11003295
0.90029518,0.50542299,2.75650535,0.12645258,0.23654501,0.14679569,0.04554367,0.98530666,0.08774292
0.87394774,0.00173160,34.59143969,0.00377856,-0.00090992,0.00200810,0.09049822,0.99962829,0.13465791
0.82114354,0.50900360,1.02989636,0.00711594,-0.05275840,-0.04609027,-0.01187493,0.89572537,0.07506675
0.74975402,0.47656071,1.10869999,0.03814893,-0.01556971,-0.01614552,-0.02527520,0.93230567,0.06551114
