Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.76666667,0.84581498,0.89402508,-0.08708830,-0.01711666,-0.08520717,0.00202061,0.82933333,0.12727298
0.76515024,0.84531266,0.92529599,-0.06096113,-0.01711666,-0.08520717,-0.02405083,0.82933333,0.12727298
0.76666667,0.84581498,0.89402508,-0.08708830,-0.01711666,-0.08520717,0.00202061,0.82933333,0.12727298
0.75333333,0.85140562,0.88936082,-0.10790059,-0.03953133,-0.13206513,0.02768236,0.93533333,0.06628741
0.65333333,0.84665227,0.95133438,-0.04071530,0.02241467,-0.03959480,0.06102243,0.86000000,0.11526232
0.28666667,0.01834862,2.06122449,0.00525359,0.00876210,0.00438105,-0.08951303,0.99466667,1.24943518
0.23333333,0.17266187,1.48866213,0.08708830,0.01711666,0.08520717,-0.00202061,0.82933333,1.08099219
0.28666667,0.01834862,2.06122449,0.00525359,0.00876210,0.00438105,-0.08951303,0.99133333,1.24943518
0.28666667,0.01834862,2.06122449,0.00525359,0.00876210,0.00438105,-0.08951303,0.99133333,1.24943518
