Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.90794796,0.59165858,2.06818690,0.10249307,0.05692253,0.04902442,0.06943184,0.97142232,0.07399200
0.90772442,0.59020501,1.49618907,0.04831041,0.05692253,0.04902442,0.03228340,0.97142232,0.07399200
0.84060348,0.55575868,1.04009179,0.00929913,-0.20158347,-0.11283749,0.03617233,0.94334755,0.06574571
0.89231442,0.37460317,1.92661183,0.04117117,0.03758535,0.02147916,0.08137110,0.99851317,0.10460012
0.89854597,0.50161117,2.81620016,0.13299733,0.18739699,0.12317482,0.06776512,0.98572209,0.08870283
0.87340112,0.00172414,34.59143969,0.00377856,0.01612903,0.00800036,0.11395701,0.99969389,0.13528353
0.84814693,0.51108765,1.32305321,0.05890543,-0.03187544,-0.01162474,0.04393386,0.90294085,0.08135831
0.79949710,0.52039749,1.09771597,0.02840248,-0.12394043,-0.07455090,0.00188469,0.95712255,0.06480616
