Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.86688288,0.70325337,0.57422349,-0.09208731,-0.05423263,-0.04225209,-0.04523234,0.80032432,0.10855244
0.86587105,0.70062357,0.84414053,-0.03237172,-0.05423263,-0.04225209,-0.00718806,0.80032432,0.10855244
0.85766934,0.69276054,0.51990623,-0.11220095,-0.07758217,-0.06401325,-0.05528665,0.78129284,0.10937415
0.77091472,0.13522538,0.63964289,-0.00757221,0.00502348,0.00165343,-0.09414251,0.99582811,0.25852908
0.79125820,0.38594970,0.50648136,-0.05029194,-0.04182627,-0.03333269,-0.08240488,0.98024619,0.21038864
0.75492003,nan,6.29408602,0.00045222,0.00000000,0.00026209,-0.09897125,0.99971991,0.28102359
0.84322253,0.63346545,0.63108405,-0.07102900,0.03440991,0.00022012,-0.07202877,0.80082553,0.13409703
0.81654013,0.69076904,0.85979819,-0.04979578,0.04216221,0.02556903,0.00296863,0.68389474,0.08180118
