Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.90116978,0.56031128,2.35287003,0.12481927,0.23422577,0.14157837,0.03021178,0.92885099,0.08058982
0.90024896,0.55527102,1.63391863,0.05940843,0.23422577,0.14157837,0.00792582,0.92885099,0.08058982
0.89253307,0.56135654,2.01930249,0.11496757,0.15113247,0.10309732,0.04700190,0.92076091,0.07918277
0.88881601,0.49377800,9.72344950,0.62577418,0.60912343,0.60027825,0.38828890,0.94951350,0.09136620
0.89734339,0.51672671,2.15624612,0.09350648,0.17551014,0.10315341,0.03360713,0.94879195,0.08786705
0.87132393,0.00169635,31.55160142,0.00344593,-0.00089445,0.00180503,0.08753622,0.99969389,0.13766445
0.89253307,0.56017897,1.82999288,0.09361526,0.10028501,0.07091683,0.04700190,0.92041106,0.07943085
0.39696075,0.29911055,1.06731553,0.04915415,0.00000000,0.01472278,-0.03471055,0.76455669,0.04960172
