Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.84549239,0.65413993,0.51093409,-0.10996079,-0.04257172,-0.04574487,-0.07057585,0.78835733,0.11899616
0.84536190,0.65370916,0.70883208,-0.06377826,-0.04353166,-0.04594677,-0.03791684,0.78682864,0.11799378
0.83655224,0.63914419,0.47959173,-0.12107831,-0.06247292,-0.06164020,-0.07717722,0.78398963,0.12279725
0.77915785,0.14662447,0.66254367,-0.00743379,0.01011845,0.00513851,-0.10906152,0.99436293,0.24797783
0.79867604,0.38310330,0.42412686,-0.05561549,-0.04391777,-0.03518117,-0.09834822,0.98165563,0.20409327
0.76230124,0.00114712,5.89877589,0.00039099,0.00311147,0.00155574,-0.11776329,0.99976797,0.27141348
0.82979595,0.61104180,0.53645222,-0.09926560,0.00321444,-0.02444304,-0.08562951,0.78985873,0.13403128
0.78605064,0.64691970,0.86813120,-0.04948895,0.12470129,0.06375153,-0.01014716,0.67804545,0.08863395
