Dataset,Model,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,RW,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,DIR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,AD,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,PR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,EO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,CEO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,ROC,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
,3,0.856,0.668,-0.484,-0.076,-0.043,-0.029,-0.043,-0.009,0.122,,0.856,0.666,-0.145,-0.026,-0.043,-0.029,-0.004,-0.009,0.122,,0.852,0.661,-0.496,-0.08,-0.038,-0.029,-0.048,-0.01,0.123,,0.813,0.493,-0.334,-0.037,-0.014,-0.007,-0.059,-0.01,0.18,,0.843,0.642,-0.567,-0.089,-0.074,-0.051,-0.049,-0.022,0.129,,0.808,0.586,0.459,0.119,-0.411,-0.065,0.264,-0.07,0.144,,0.845,0.629,-0.392,-0.059,0.017,0.002,-0.056,-0.034,0.136,,0.786,0.665,-0.093,-0.035,0.063,0.045,0.023,-0.021,0.08
,4,0.866,0.71,-0.596,-0.1,-0.062,-0.048,-0.047,-0.069,0.11,,0.865,0.707,-0.213,-0.041,-0.062,-0.048,-0.009,-0.069,0.11,,0.857,0.701,-0.679,-0.12,-0.112,-0.079,-0.047,-0.077,0.11,,0.821,0.564,-0.227,-0.033,0.071,0.034,-0.066,-0.033,0.164,,0.842,0.652,-0.662,-0.104,-0.092,-0.067,-0.055,-0.076,0.131,,0.747,0.71,1.824,0.0,0.0,0.0,-0.106,-0.0,0.292,,0.838,0.629,-0.459,-0.072,0.02,-0.005,-0.069,-0.112,0.141,,0.813,0.702,-0.124,-0.044,0.075,0.046,0.009,-0.095,0.076
,5,0.871,0.72,-0.737,-0.118,-0.116,-0.076,-0.044,-0.231,0.105,,0.87,0.715,-0.359,-0.065,-0.116,-0.076,-0.005,-0.231,0.105,,0.864,0.719,-0.871,-0.148,-0.187,-0.122,-0.043,-0.26,0.101,,0.772,0.185,-0.665,-0.015,-0.014,-0.008,-0.101,-0.005,0.256,,0.792,0.395,-0.924,-0.061,-0.084,-0.054,-0.086,-0.018,0.213,,0.75,0.001,1.823,0.0,0.003,0.002,-0.114,-0.0,0.288,,0.836,0.614,-0.557,-0.079,0.003,-0.015,-0.076,-0.221,0.145,,0.816,0.701,-0.135,-0.047,0.073,0.046,0.011,-0.39,0.077
,6,0.878,0.734,-0.573,-0.098,-0.068,-0.048,-0.038,-0.063,0.1,,0.877,0.731,-0.176,-0.035,-0.068,-0.048,-0.002,-0.063,0.1,,0.866,0.723,-0.682,-0.125,-0.116,-0.084,-0.044,-0.078,0.098,,0.846,0.644,-0.184,-0.031,0.09,0.048,-0.051,-0.048,0.133,,0.85,0.669,-0.604,-0.099,-0.082,-0.06,-0.049,-0.08,0.122,,0.751,0.001,1.81,0.0,0.003,0.001,-0.102,-0.0,0.286,,0.848,0.656,-0.468,-0.077,0.016,-0.008,-0.065,-0.11,0.128,,0.844,0.723,-0.161,-0.048,0.093,0.049,-0.015,-0.089,0.081
,7,0.855,0.681,-0.561,-0.096,-0.069,-0.051,-0.046,-0.239,0.114,,0.855,0.679,-0.25,-0.048,-0.081,-0.057,-0.008,-0.238,0.114,,0.85,0.678,-0.655,-0.114,-0.121,-0.082,-0.044,-0.247,0.113,,0.777,0.181,-0.676,-0.015,-0.011,-0.007,-0.094,-0.003,0.25,,0.794,0.391,-0.884,-0.06,-0.081,-0.054,-0.081,-0.017,0.208,,0.756,0.001,1.818,0.0,0.003,0.002,-0.104,-0.0,0.28,,0.83,0.598,-0.391,-0.061,0.033,0.005,-0.068,-0.223,0.145,,0.8,0.671,-0.143,-0.05,0.069,0.037,-0.002,-0.386,0.085
,8,0.848,0.671,-0.493,-0.087,-0.022,-0.023,-0.052,-0.063,0.121,,0.847,0.67,-0.183,-0.036,-0.022,-0.023,-0.021,-0.063,0.121,,0.844,0.667,-0.558,-0.099,-0.039,-0.037,-0.058,-0.076,0.122,,0.819,0.515,0.046,0.006,0.145,0.087,-0.068,-0.036,0.179,,0.843,0.658,-0.501,-0.087,-0.017,-0.022,-0.057,-0.079,0.126,,0.749,0.001,1.79,0.0,0.003,0.002,-0.118,-0.0,0.289,,0.842,0.659,-0.533,-0.093,-0.024,-0.028,-0.06,-0.081,0.125,,0.807,0.678,-0.146,-0.048,0.091,0.051,-0.005,-0.086,0.09
bank,1,0.904,0.579,0.627,0.087,0.03,0.04,0.07,-0.074,0.075,,0.903,0.578,0.327,0.039,0.03,0.04,0.033,-0.074,0.075,,0.899,0.562,0.548,0.076,0.052,0.042,0.052,-0.072,0.078,,0.885,0.381,2.212,0.499,0.476,0.478,0.343,-0.038,0.104,,0.901,0.522,0.553,0.059,0.022,0.023,0.062,-0.052,0.085,,0.874,0.579,3.489,0.004,0.0,0.002,0.089,-0.0,0.134,,0.899,0.561,0.525,0.072,0.034,0.033,0.055,-0.072,0.078,,0.706,0.394,0.316,0.047,-0.011,0.005,0.021,-0.186,0.077
,2,0.91,0.617,0.756,0.119,0.06,0.06,0.077,-0.039,0.07,,0.909,0.616,0.459,0.062,0.06,0.06,0.047,-0.039,0.07,,0.852,0.514,-0.063,-0.008,-0.123,-0.077,0.051,-0.036,0.099,,0.875,0.45,0.67,0.075,0.053,0.04,0.062,-0.004,0.092,,0.9,0.516,0.76,0.087,0.087,0.061,0.066,-0.016,0.088,,0.871,0.002,3.532,0.002,0.007,0.004,0.104,-0.0,0.138,,0.858,0.51,0.07,0.007,-0.063,-0.039,0.061,-0.043,0.111,,0.799,0.524,0.106,0.032,-0.045,-0.039,-0.022,-0.034,0.066
,3,0.906,0.59,0.682,0.098,0.012,0.029,0.084,-0.029,0.074,,0.906,0.589,0.387,0.048,0.011,0.029,0.044,-0.029,0.074,,0.835,0.538,-0.225,-0.044,-0.287,-0.176,0.031,-0.059,0.07,,0.888,0.303,0.785,0.041,0.052,0.031,0.092,-0.003,0.112,,0.9,0.487,0.888,0.098,0.067,0.06,0.099,-0.008,0.09,,0.874,0.002,3.546,0.004,0.008,0.005,0.124,-0.0,0.134,,0.846,0.504,0.054,0.013,-0.09,-0.063,0.03,-0.096,0.082,,0.794,0.515,0.145,0.046,-0.038,-0.037,-0.028,-0.034,0.065
,4,0.888,0.327,0.832,0.05,0.045,0.031,0.101,-0.011,0.11,,0.888,0.325,0.511,0.026,0.045,0.031,0.026,-0.011,0.11,,0.887,0.281,1.066,0.056,0.076,0.048,0.102,-0.009,0.114,,0.878,0.366,0.926,0.117,0.156,0.107,0.087,-0.003,0.106,,0.887,0.319,1.169,0.082,0.104,0.072,0.105,-0.005,0.111,,0.874,0.002,3.543,0.004,0.008,0.005,0.128,-0.0,0.135,,0.886,0.263,0.832,-0.026,-0.157,-0.083,0.139,-0.009,0.116,,0.888,0.268,0.959,0.043,0.046,0.031,0.101,-0.008,0.114
,5,0.88,0.201,0.316,0.01,-0.07,-0.026,0.119,-0.032,0.12,,0.88,0.203,0.218,0.007,-0.07,-0.026,0.023,-0.032,0.12,,0.879,0.103,0.316,0.001,-0.042,-0.018,0.112,-0.016,0.126,,0.882,0.17,0.316,0.012,0.01,0.004,0.086,-0.0,0.119,,0.889,0.309,1.073,0.065,0.098,0.064,0.085,-0.002,0.11,,0.876,0.002,0.316,0.002,-0.001,0.001,0.106,-0.0,0.133,,0.878,0.098,0.316,0.003,-0.03,-0.012,0.109,-0.016,0.127,,0.88,0.314,0.536,0.034,-0.026,-0.0,0.104,-0.038,0.11
,6,0.907,0.613,0.735,0.116,0.033,0.046,0.085,-0.032,0.072,,0.906,0.612,0.403,0.054,0.033,0.046,0.047,-0.032,0.072,,0.829,0.549,-0.216,-0.048,-0.284,-0.179,0.019,-0.055,0.068,,0.842,0.405,0.551,0.059,0.007,0.014,0.073,-0.004,0.097,,0.897,0.511,0.934,0.119,0.098,0.078,0.094,-0.011,0.09,,0.87,0.002,3.532,0.004,0.014,0.007,0.131,-0.0,0.14,,0.84,0.502,0.06,0.011,-0.127,-0.078,0.044,-0.109,0.085,,0.816,0.54,0.157,0.045,-0.154,-0.078,0.037,-0.049,0.067
,7,0.904,0.597,0.662,0.098,0.037,0.042,0.072,-0.046,0.075,,0.904,0.595,0.351,0.045,0.037,0.042,0.036,-0.046,0.075,,0.829,0.52,-0.087,-0.019,-0.191,-0.118,0.023,-0.093,0.077,,0.889,0.357,0.759,0.044,0.066,0.037,0.07,-0.002,0.109,,0.897,0.503,0.724,0.08,0.056,0.046,0.075,-0.014,0.09,,0.871,0.003,3.491,0.004,0.008,0.005,0.105,-0.0,0.138,,0.835,0.479,0.153,0.031,-0.04,-0.025,0.03,-0.128,0.089,,0.762,0.491,0.083,0.029,-0.059,-0.045,-0.026,-0.073,0.066
,8,0.9,0.444,0.97,0.088,0.136,0.089,0.065,-0.023,0.094,,0.9,0.44,0.634,0.048,0.136,0.089,0.014,-0.023,0.094,,0.895,0.47,0.836,0.094,0.124,0.086,0.065,-0.028,0.091,,0.821,0.402,0.37,0.043,-0.019,0.0,0.059,-0.003,0.088,,0.9,0.506,0.806,0.094,0.093,0.069,0.071,-0.013,0.086,,0.876,0.002,3.575,0.004,-0.001,0.002,0.104,-0.0,0.132,,0.895,0.467,0.806,0.088,0.097,0.07,0.071,-0.033,0.092,,0.744,0.474,0.067,0.025,-0.127,-0.072,-0.007,-0.067,0.063
home,1,0.882,0.245,0.57,0.046,0.062,0.05,0.051,-0.109,0.084,,0.881,0.24,0.504,0.04,0.062,0.05,0.03,-0.109,0.084,,0.758,0.245,0.534,0.137,0.114,0.122,0.118,-0.299,0.093,,0.726,0.098,-0.468,-0.075,-0.069,-0.072,-0.043,-0.022,0.119,,0.919,0.245,0.57,0.0,0.0,0.0,0.031,-0.0,0.085,,0.919,0.001,0.652,0.0,0.0,0.0,0.031,-0.0,0.085,,0.77,0.239,0.362,0.084,0.026,0.054,0.083,-0.284,0.094,,0.881,0.216,0.689,0.048,0.065,0.053,0.055,-0.103,0.086
,2,0.92,0.093,-0.574,-0.005,-0.01,-0.006,-0.029,-0.012,0.08,,0.92,0.092,-0.392,-0.003,-0.01,-0.006,0.001,-0.012,0.08,,0.92,0.036,-0.587,-0.002,-0.005,-0.003,-0.029,-0.005,0.083,,0.92,0.093,-1.347,-0.0,0.0,-0.0,-0.029,-0.0,0.083,,0.92,0.001,-1.454,-0.0,-0.001,-0.0,-0.029,-0.0,0.083,,0.919,0.023,-0.285,-0.001,0.012,0.005,-0.031,-0.004,0.083,,0.92,0.028,0.108,0.0,0.006,0.003,-0.029,-0.004,0.083,,0.689,0.249,-0.134,-0.046,-0.018,-0.028,-0.034,-0.374,0.086
,3,0.913,0.01,1.021,0.503,0.007,0.004,0.023,-1.226,0.043,,0.913,0.01,1.031,0.503,0.007,0.004,0.008,-1.226,0.043,,0.919,0.01,1.021,0.5,0.0,0.0,0.017,-1.241,0.042,,0.501,0.15,0.329,0.5,-0.0,-0.0,-0.017,-1.241,0.006,,0.919,0.01,1.021,0.5,0.0,0.0,0.017,-1.241,0.042,,0.919,0.01,1.021,0.5,0.0,0.0,0.017,-1.241,0.042,,0.919,0.01,1.021,0.5,0.0,0.0,0.017,-1.241,0.042,,0.729,0.189,0.185,0.45,0.032,0.026,0.043,-1.212,0.051
,4,0.92,0.045,0.875,0.499,0.006,0.01,0.02,-1.248,0.041,,0.92,0.043,0.687,0.499,0.006,0.01,0.005,-1.248,0.041,,0.919,0.007,0.875,0.499,0.001,0.001,0.016,-1.239,0.042,,0.561,0.157,0.363,0.481,0.028,0.012,0.036,-1.665,0.042,,0.919,0.045,0.875,0.5,0.0,0.0,0.016,-1.237,0.042,,0.919,0.005,0.875,0.499,0.0,-0.002,0.015,-1.238,0.042,,0.919,0.011,0.875,0.499,-0.0,-0.001,0.015,-1.238,0.042,,0.897,0.197,0.909,0.482,0.064,0.078,0.061,-1.274,0.042
,5,0.869,0.299,0.719,0.474,0.104,0.119,0.086,-1.331,0.041,,0.873,0.283,0.639,0.47,0.089,0.103,0.068,-1.326,0.041,,0.867,0.233,0.897,0.493,0.113,0.119,0.092,-1.3,0.045,,0.5,0.15,0.331,0.5,0.0,0.0,-0.016,-1.233,0.006,,0.919,0.299,0.719,0.5,0.0,0.0,0.016,-1.233,0.042,,0.919,0.0,0.658,0.5,0.0,0.0,0.016,-1.233,0.042,,0.877,0.216,0.541,0.47,0.044,0.043,0.048,-1.284,0.045,,0.896,0.183,1.067,0.483,0.073,0.078,0.061,-1.266,0.043
