Dataset,Model,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,RW,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,DIR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,AD,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,PR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,EO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,CEO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,ROC,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
,3,0.862,0.685,-0.589,-0.091,-0.068,-0.048,-0.046,-0.01,0.117,,0.861,0.682,-0.205,-0.036,-0.068,-0.048,-0.003,-0.01,0.117,,0.856,0.67,-0.529,-0.083,-0.045,-0.035,-0.049,-0.012,0.122,,0.834,0.624,-0.394,-0.067,-0.023,-0.02,-0.047,-0.009,0.136,,0.849,0.658,-0.515,-0.084,-0.034,-0.032,-0.054,-0.02,0.125,,0.812,0.593,0.41,0.102,-0.449,-0.089,0.264,-0.07,0.143,,0.846,0.632,-0.42,-0.062,0.018,-0.001,-0.06,-0.039,0.137,,0.789,0.67,-0.128,-0.048,0.062,0.035,0.007,-0.023,0.08
,4,0.87,0.713,-0.528,-0.088,-0.014,-0.021,-0.052,-0.064,0.108,,0.87,0.712,-0.145,-0.028,-0.014,-0.021,-0.019,-0.064,0.108,,0.857,0.689,-0.618,-0.105,-0.051,-0.047,-0.058,-0.073,0.114,,0.798,0.437,-0.144,-0.015,0.098,0.048,-0.087,-0.01,0.2,,0.835,0.627,-0.609,-0.095,-0.089,-0.061,-0.053,-0.073,0.137,,0.752,0.001,1.825,0.0,0.003,0.002,-0.108,-0.0,0.285,,0.85,0.666,-0.549,-0.09,-0.009,-0.023,-0.065,-0.087,0.123,,0.802,0.685,-0.107,-0.039,0.1,0.058,0.007,-0.099,0.078
,5,0.867,0.703,-0.555,-0.092,-0.054,-0.042,-0.045,-0.223,0.109,,0.866,0.701,-0.169,-0.032,-0.054,-0.042,-0.007,-0.223,0.109,,0.858,0.693,-0.654,-0.112,-0.078,-0.064,-0.055,-0.247,0.109,,0.771,0.135,-0.447,-0.008,0.005,0.002,-0.094,-0.004,0.259,,0.791,0.386,-0.68,-0.05,-0.042,-0.033,-0.082,-0.02,0.21,,0.755,0.703,1.84,0.0,0.0,0.0,-0.099,-0.0,0.281,,0.843,0.633,-0.46,-0.071,0.034,0.0,-0.072,-0.222,0.134,,0.817,0.691,-0.151,-0.05,0.042,0.026,0.003,-0.38,0.082
,6,0.87,0.715,-0.698,-0.113,-0.107,-0.068,-0.042,-0.064,0.105,,0.869,0.711,-0.36,-0.066,-0.107,-0.068,-0.008,-0.064,0.105,,0.858,0.703,-0.831,-0.142,-0.164,-0.109,-0.048,-0.078,0.105,,0.826,0.592,-0.194,-0.032,0.057,0.036,-0.048,-0.043,0.15,,0.829,0.618,-0.682,-0.107,-0.101,-0.071,-0.061,-0.066,0.138,,0.753,0.001,1.792,0.0,-0.0,0.0,-0.121,-0.0,0.284,,0.829,0.594,-0.525,-0.076,0.024,-0.003,-0.081,-0.121,0.149,,0.82,0.702,-0.129,-0.044,0.091,0.059,0.015,-0.096,0.077
,7,0.851,0.681,-0.641,-0.109,-0.092,-0.066,-0.05,-0.243,0.118,,0.85,0.676,-0.244,-0.048,-0.067,-0.051,-0.013,-0.242,0.119,,0.844,0.673,-0.654,-0.116,-0.076,-0.064,-0.06,-0.255,0.119,,0.251,0.4,0.001,0.001,-0.0,0.0,0.108,-0.001,0.036,,0.789,0.383,-0.691,-0.049,-0.043,-0.032,-0.087,-0.018,0.217,,0.749,0.001,1.798,0.0,-0.0,0.0,-0.108,-0.0,0.289,,0.825,0.606,-0.457,-0.074,0.043,0.002,-0.081,-0.239,0.146,,0.8,0.678,-0.14,-0.049,0.062,0.036,0.003,-0.393,0.085
,8,0.845,0.655,-0.469,-0.079,0.0,-0.011,-0.058,-0.071,0.128,,0.845,0.655,-0.151,-0.029,0.0,-0.011,-0.025,-0.071,0.128,,0.842,0.663,-0.505,-0.093,-0.007,-0.021,-0.062,-0.085,0.122,,0.826,0.616,-0.1,-0.019,0.126,0.072,-0.047,-0.048,0.14,,0.839,0.638,-0.49,-0.08,-0.032,-0.026,-0.054,-0.073,0.134,,0.751,0.001,1.783,0.0,-0.0,0.0,-0.116,-0.0,0.287,,0.842,0.663,-0.509,-0.093,-0.007,-0.021,-0.062,-0.084,0.122,,0.771,0.652,-0.078,-0.031,0.076,0.054,0.028,-0.094,0.085
bank,1,0.901,0.56,0.856,0.125,0.234,0.142,0.03,-0.074,0.081,,0.9,0.555,0.491,0.059,0.234,0.142,0.008,-0.074,0.081,,0.893,0.561,0.703,0.115,0.151,0.103,0.047,-0.083,0.079,,0.889,0.494,2.275,0.626,0.609,0.6,0.388,-0.052,0.091,,0.897,0.517,0.768,0.094,0.176,0.103,0.034,-0.053,0.088,,0.871,0.002,3.452,0.003,-0.001,0.002,0.088,-0.0,0.138,,0.893,0.56,0.604,0.094,0.1,0.071,0.047,-0.083,0.079,,0.397,0.299,0.065,0.049,0.0,0.015,-0.035,-0.268,0.05
,2,0.909,0.619,0.557,0.081,-0.053,0.001,0.089,-0.037,0.069,,0.909,0.62,0.275,0.035,-0.053,0.001,0.049,-0.037,0.069,,0.893,0.484,0.426,0.042,-0.091,-0.027,0.1,-0.01,0.092,,0.89,0.33,0.636,0.032,-0.032,-0.003,0.098,-0.001,0.11,,0.899,0.506,0.834,0.098,-0.028,0.03,0.127,-0.014,0.089,,0.873,0.003,3.556,0.004,0.017,0.009,0.088,-0.0,0.136,,0.887,0.404,0.693,0.061,0.008,0.026,0.094,-0.028,0.103,,0.813,0.535,0.051,0.014,-0.178,-0.094,0.027,-0.018,0.065
,3,0.908,0.592,0.727,0.102,0.057,0.049,0.069,-0.029,0.074,,0.908,0.59,0.403,0.048,0.057,0.049,0.032,-0.029,0.074,,0.841,0.556,0.039,0.009,-0.202,-0.113,0.036,-0.058,0.066,,0.892,0.375,0.656,0.041,0.038,0.021,0.081,-0.001,0.105,,0.899,0.502,1.035,0.133,0.187,0.123,0.068,-0.014,0.089,,0.873,0.002,3.544,0.004,0.016,0.008,0.114,-0.0,0.135,,0.848,0.511,0.28,0.059,-0.032,-0.012,0.044,-0.102,0.081,,0.799,0.52,0.093,0.028,-0.124,-0.075,0.002,-0.044,0.065
,4,0.892,0.342,0.818,0.048,0.05,0.036,0.079,-0.011,0.106,,0.892,0.34,0.477,0.024,0.05,0.036,0.007,-0.011,0.106,,0.89,0.285,1.121,0.058,0.12,0.071,0.069,-0.009,0.111,,0.88,0.1,1.582,0.031,0.058,0.038,0.091,-0.003,0.126,,0.889,0.361,1.116,0.095,0.156,0.104,0.076,-0.009,0.105,,0.876,0.002,3.556,0.004,0.018,0.009,0.091,-0.0,0.133,,0.889,0.273,-0.36,-0.009,-0.08,-0.044,0.089,-0.01,0.112,,0.888,0.239,1.158,0.049,0.099,0.059,0.075,-0.007,0.115
,5,0.878,0.181,-0.258,-0.005,-0.067,-0.035,0.129,-0.03,0.123,,0.879,0.183,-0.484,-0.009,-0.067,-0.035,0.028,-0.03,0.123,,0.877,0.079,-0.258,-0.008,-0.045,-0.024,0.132,-0.011,0.129,,0.883,0.301,1.065,0.075,0.115,0.073,0.097,-0.001,0.112,,0.889,0.367,1.375,0.138,0.211,0.143,0.098,-0.008,0.105,,0.875,0.181,-0.258,-0.0,0.0,-0.0,0.129,-0.0,0.134,,0.878,0.076,-0.258,-0.008,-0.043,-0.023,0.132,-0.01,0.129,,0.882,0.253,0.67,0.031,0.018,0.014,0.11,-0.01,0.117
,6,0.904,0.597,0.817,0.129,0.049,0.057,0.093,-0.03,0.076,,0.903,0.594,0.504,0.068,0.05,0.057,0.053,-0.03,0.076,,0.835,0.557,-0.204,-0.045,-0.241,-0.167,0.001,-0.06,0.068,,0.871,0.064,1.137,0.012,0.006,0.007,0.138,-0.0,0.137,,0.897,0.521,0.812,0.1,0.088,0.06,0.076,-0.018,0.09,,0.868,0.003,3.459,0.003,0.012,0.006,0.135,-0.0,0.142,,0.844,0.512,0.052,0.01,-0.064,-0.061,0.01,-0.108,0.085,,0.804,0.535,0.145,0.045,-0.119,-0.069,0.009,-0.04,0.066
,7,0.907,0.6,0.88,0.143,0.14,0.115,0.077,-0.05,0.072,,0.906,0.597,0.604,0.086,0.14,0.115,0.057,-0.05,0.072,,0.819,0.514,-0.007,-0.002,-0.079,-0.062,-0.014,-0.104,0.073,,0.887,0.325,0.691,0.041,0.064,0.038,0.063,-0.001,0.11,,0.9,0.505,1.014,0.126,0.237,0.147,0.046,-0.015,0.088,,0.874,0.002,3.544,0.004,-0.001,0.002,0.09,-0.0,0.135,,0.821,0.509,0.029,0.007,-0.053,-0.046,-0.012,-0.11,0.075,,0.75,0.477,0.103,0.038,-0.016,-0.016,-0.025,-0.07,0.066
,8,0.897,0.437,0.877,0.075,0.098,0.063,0.07,-0.021,0.098,,0.896,0.434,0.513,0.036,0.098,0.063,0.011,-0.021,0.098,,0.889,0.449,0.732,0.077,0.056,0.048,0.082,-0.024,0.097,,0.891,0.367,0.411,0.022,0.007,0.001,0.072,-0.003,0.106,,0.898,0.51,0.768,0.09,0.027,0.041,0.095,-0.012,0.088,,0.873,0.003,3.544,0.004,0.016,0.008,0.101,-0.0,0.136,,0.889,0.449,0.706,0.073,0.039,0.039,0.086,-0.024,0.097,,0.777,0.503,0.135,0.046,-0.109,-0.053,0.015,-0.063,0.065
home,1,0.884,0.243,0.602,0.046,0.087,0.062,0.048,-0.104,0.084,,0.883,0.236,0.533,0.041,0.087,0.062,0.026,-0.104,0.084,,0.642,0.227,0.498,0.202,0.174,0.185,0.162,-0.406,0.088,,0.082,0.15,0.0,0.0,0.0,0.0,-0.031,-0.0,0.012,,0.919,0.243,0.602,0.0,0.0,0.0,0.031,0.0,0.084,,0.919,0.0,0.655,0.0,-0.0,-0.0,0.031,-0.0,0.084,,0.66,0.223,0.342,0.128,0.07,0.097,0.109,-0.399,0.091,,0.884,0.212,0.659,0.047,0.078,0.058,0.052,-0.1,0.086
,2,0.918,0.087,-0.859,-0.007,-0.027,-0.015,-0.033,-0.011,0.083,,0.918,0.082,-0.69,-0.005,-0.027,-0.015,-0.003,-0.011,0.083,,0.918,0.044,-0.81,-0.004,-0.011,-0.007,-0.034,-0.006,0.084,,0.918,0.0,-0.136,-0.0,0.0,0.0,-0.034,-0.0,0.086,,0.918,0.001,0.382,0.0,-0.0,0.0,-0.034,-0.0,0.086,,0.917,0.025,-0.262,-0.001,0.013,0.005,-0.036,-0.005,0.085,,0.918,0.032,-0.155,-0.0,0.004,0.002,-0.034,-0.005,0.085,,0.682,0.256,-0.104,-0.036,-0.008,-0.017,-0.024,-0.381,0.085
,3,0.914,0.01,0.93,0.007,0.005,0.006,0.037,-0.001,0.085,,0.914,0.009,0.938,0.007,0.005,0.006,0.006,-0.001,0.085,,0.92,0.01,0.93,0.0,0.0,0.0,0.031,0.0,0.083,,0.875,0.079,0.353,0.02,0.014,0.017,0.045,-0.037,0.096,,0.92,0.01,0.93,0.0,0.0,0.0,0.031,-0.0,0.083,,0.92,0.01,0.93,0.0,0.0,0.0,0.031,0.0,0.083,,0.92,0.01,0.93,0.0,0.0,0.0,0.031,0.0,0.083,,0.737,0.189,0.188,0.047,0.033,0.038,0.049,-0.151,0.102
