Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.74666667,0.82407407,0.91995820,-0.06200421,-0.03348612,-0.00709146,0.08029788,0.75333333,0.14018877
0.74656607,0.82392762,0.94287228,-0.04391448,-0.03348612,-0.00709146,0.05979441,0.75333333,0.14018877
0.74333333,0.81967213,0.92760762,-0.05471912,-0.01400560,-0.00276551,0.05941395,0.71066667,0.15041961
0.68333333,0.81188119,1.00000000,0.00000000,0.00000000,0.00000000,0.13679780,1.00000000,0.05830928
0.63333333,0.85778781,0.88137931,-0.09745831,-0.03310415,-0.04315283,0.14732071,0.73200000,0.09546620
0.32333333,0.01932367,2.44827586,0.00679942,0.01311434,0.00655717,-0.14359722,0.98866667,1.12907150
0.25666667,0.21201413,1.22413793,0.05471912,0.01400560,0.00276551,-0.05941395,0.71066667,0.93512747
0.31666667,nan,nan,0.00000000,0.00000000,0.00000000,-0.13679780,1.00000000,1.14990558
