Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.86975750,0.71467786,0.49747852,-0.11316455,-0.10692297,-0.06793857,-0.04172349,0.93774600,0.10536004
0.86850699,0.71067513,0.69732836,-0.06570685,-0.10692297,-0.06793857,-0.00796679,0.93774600,0.10536004
0.85766934,0.70251117,0.43561793,-0.14179918,-0.16398041,-0.10853505,-0.04799574,0.92496499,0.10529470
0.82649075,0.59202773,0.82337505,-0.03222684,0.05709132,0.03590339,-0.04763014,0.95819267,0.14954497
0.82855458,0.61781137,0.50571139,-0.10697544,-0.10074045,-0.07050510,-0.06148324,0.93649296,0.13835688
0.75256136,0.00059542,6.00413010,0.00043028,-0.00032478,0.00013900,-0.12062319,0.99979362,0.28421263
0.82899683,0.59440559,0.59175992,-0.07550511,0.02439244,-0.00318034,-0.08144372,0.88647453,0.14919085
0.81963588,0.70205771,0.87879147,-0.04414784,0.09119564,0.05906074,0.01483617,0.90846908,0.07674494
