Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.90376701,0.59681698,2.26364502,0.12941771,0.04915645,0.05705421,0.09346854,0.97005381,0.07630974
0.90334689,0.59434859,1.65504546,0.06820616,0.05000607,0.05747902,0.05319290,0.97001161,0.07642350
0.83486335,0.55703368,0.81555630,-0.04460535,-0.24104867,-0.16745803,0.00098330,0.94194365,0.06824584
0.87063417,0.06412214,3.11690074,0.01175032,0.00582595,0.00688099,0.13781252,0.99951461,0.13748988
0.89680279,0.52058824,2.25232173,0.10004399,0.08848161,0.05979695,0.07557812,0.98233618,0.08988283
0.86789068,0.00318471,31.79238754,0.00335137,0.01213740,0.00606870,0.13498274,0.99957793,0.14168951
0.84383244,0.51187335,1.05297274,0.00992230,-0.06432820,-0.06081044,0.01023450,0.89726707,0.08507553
0.80426295,0.53520421,1.15564907,0.04473979,-0.11870373,-0.06910585,0.00867989,0.96083149,0.06572185
