Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.91834500,0.08657694,0.42374473,-0.00687187,-0.02697596,-0.01513977,-0.03261925,0.98880916,0.08280206
0.91839882,0.08246310,0.50154647,-0.00536104,-0.02697596,-0.01513977,-0.00324088,0.98880916,0.08280206
0.91768379,0.04405841,0.44467786,-0.00360895,-0.01108377,-0.00659955,-0.03382274,0.99382791,0.08440457
0.91795478,0.00026417,0.87241562,-0.00001207,0.00023463,0.00010002,-0.03380303,0.99989811,0.08555642
0.91785722,0.00052757,1.46565823,0.00007345,-0.00006831,0.00001088,-0.03365441,0.99982873,0.08559019
0.91693585,0.02469136,0.76977848,-0.00086429,0.01254544,0.00537352,-0.03599953,0.99512433,0.08528438
0.91769463,0.03212237,0.85610878,-0.00048572,0.00376022,0.00170282,-0.03379119,0.99550372,0.08475715
0.68186745,0.25644144,0.90153335,-0.03641011,-0.00808530,-0.01715934,-0.02354212,0.68349340,0.08500018
