Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.86223926,0.68455696,0.55485257,-0.09062722,-0.06786099,-0.04770891,-0.04586928,0.99022628,0.11735515
0.86090681,0.68153208,0.81456380,-0.03626645,-0.06786099,-0.04770891,-0.00309643,0.99022628,0.11735515
0.85619518,0.66993740,0.58919121,-0.08275437,-0.04479671,-0.03484513,-0.04866533,0.98832461,0.12219538
0.83386158,0.62395729,0.67445267,-0.06683700,-0.02300571,-0.01972844,-0.04678713,0.99075698,0.13608134
0.84882435,0.65765315,0.59721327,-0.08355940,-0.03426128,-0.03186395,-0.05361339,0.98052628,0.12525127
0.81189651,0.59272263,1.50657226,0.10204521,-0.44940197,-0.08934319,0.26419256,0.93270436,0.14346913
0.84617086,0.63185747,0.65695940,-0.06197471,0.01751783,-0.00061112,-0.06034315,0.96214344,0.13666668
0.78926808,0.66959436,0.88024625,-0.04773286,0.06182974,0.03482330,0.00678228,0.97750424,0.07954819
