Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.72000000,0.83657588,0.98795181,-0.01204819,0.00000000,-0.01785714,0.06262839,0.99466667,0.05639181
0.71637372,0.83419795,0.98967297,-0.01032703,0.00000000,-0.01785714,-0.00664314,0.99466667,0.05639181
0.72333333,0.83820663,1.00930233,0.00921659,0.00000000,0.01754386,0.08389318,0.98866667,0.05617159
0.71666667,0.83495146,1.00000000,0.00000000,0.00000000,0.00000000,0.07467659,1.00000000,0.05660413
0.61666667,0.84474886,0.75562365,-0.19482538,-0.17897727,-0.15653124,0.18627505,0.72133333,0.14471901
0.27666667,nan,2.61445783,0.00743990,0.00000000,0.00908521,-0.06723669,0.98800000,1.26974319
0.27666667,nan,0.00000000,-0.00921659,0.00000000,-0.01754386,-0.08389318,0.98866667,1.26974319
0.71666667,0.83495146,1.00000000,0.00000000,0.00000000,0.00000000,0.07467659,1.00000000,0.05660413
