Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
0.85148443,0.68127428,0.52664682,-0.10902944,-0.09189156,-0.06604361,-0.04953941,0.78396814,0.11767815
0.84952066,0.67587074,0.78327821,-0.04776330,-0.06747022,-0.05106641,-0.01250843,0.78479363,0.11853643
0.84417089,0.67255021,0.51977923,-0.11583988,-0.07633660,-0.06439267,-0.06044040,0.77491673,0.11888349
0.25090514,0.39990719,1.00091806,0.00091535,-0.00043515,0.00009770,0.10828763,0.99943519,0.03618488
0.78855902,0.38318547,0.50107561,-0.04922709,-0.04277718,-0.03195889,-0.08664585,0.98185373,0.21657230
0.74887762,0.00057637,6.03873598,0.00042528,-0.00031666,0.00014434,-0.10794675,0.99979725,0.28912035
0.82541636,0.60623877,0.63327568,-0.07437867,0.04284459,0.00210478,-0.08111246,0.78727009,0.14589786
0.79963794,0.67799372,0.86941623,-0.04937671,0.06238534,0.03611365,0.00349896,0.67526430,0.08494397
